schluessel;Name;apothekenVorgabe
01057028;H�hndorf; 0,102   
01057029;Hohenfelde; 0,262   
01057030;Hohwacht (Ostsee); 0,216   
01057031;Honigsee; 0,112   
01057032;Kal�bbe; 0,144   
01057033;Kirchbarkau; 0,185   
01057034;Kirchn�chel; 0,043   
01057035;Klamp; 0,183   
01057037;Klein Barkau; 0,066   
01057038;Kletkamp; 0,028   
01057039;K�hn; 0,207   
01057040;Krokau; 0,113   
01057041;Krummbek; 0,104   
01057042;K�hren; 0,166   
01057043;Laboe; 1,238   
01057044;Lammershagen; 0,064   
01057045;Lebrade; 0,151   
01057046;Lehmkuhlen; 0,346   
01057047;L�ptin; 0,078   
01057048;L�tjenburg, Stadt; 1,366   
01057049;Lutterbek; 0,094   
01057050;Martensrade; 0,244   
01057051;M�nkeberg; 0,955   
01057052;Mucheln; 0,144   
01057053;Nehmten; 0,076   
01057054;Nettelsee; 0,108   
01057055;Panker; 0,363   
01057056;Passade; 0,087   
01057057;Pl�n, Stadt; 2,181   
01057058;Pohnsdorf; 0,116   
01057059;Postfeld; 0,115   
01057060;Prasdorf; 0,113   
01057062;Preetz, Stadt; 3,891   
01057063;Probsteierhagen; 0,530   
01057065;Rantzau; 0,085   
01057066;Rastorf; 0,213   
01057067;Rathjensdorf; 0,127   
01057068;Rendsw�hren; 0,201   
01057069;Ruhwinkel; 0,241   
01057070;Schellhorn; 0,385   
01057071;Schillsdorf; 0,222   
01057072;Schlesen; 0,127   
01057073;Sch�nberg (Holstein); 1,525   
01057074;Sch�nkirchen; 1,573   
01057076;Schwartbuck; 0,204   
01057077;Selent; 0,339   
01057078;Stakendorf; 0,116   
01057079;Stein; 0,206   
01057080;Stolpe; 0,326   
01057081;Stoltenberg; 0,078   
01057082;Tr�ndel; 0,099   
01057083;Tasdorf; 0,091   
01057084;Wahlstorf; 0,125   
01057085;Wankendorf; 0,732   
01057086;Warnau; 0,092   
01057087;Wendtorf; 0,259   
01057088;Wisch; 0,174   
01057089;Wittmoldt; 0,044   
01057090;Fargau-Pratjau; 0,192   
01057091;Schwentinental, Stadt; 3,404   
01058001;Achterwehr; 0,245   
01058003;Alt Duvenstedt; 0,467   
01058004;Altenhof; 0,076   
01058005;Altenholz; 2,478   
01058007;Arpsdorf; 0,069   
01058008;Ascheffel; 0,253   
01058009;Aukrug; 0,943   
01058010;Bargstall; 0,036   
01058011;Bargstedt; 0,181   
01058012;Barkelsby; 0,367   
01058013;Beldorf; 0,073   
01058014;Bendorf; 0,116   
01058015;Beringstedt; 0,181   
01058016;Bissee; 0,044   
01058018;Blumenthal; 0,176   
01058019;B�hnhusen; 0,079   
01058021;Bokel; 0,169   
01058022;Bordesholm; 1,888   
01058023;Borgdorf-Seedorf; 0,100   
01058024;Borgstedt; 0,339   
01058025;Bornholt; 0,044   
01058026;Bovenau; 0,277   
01058027;Brammer; 0,100   
01058028;Bredenbek; 0,350   
01058029;Breiholz; 0,352   
01058030;Brekendorf; 0,251   
01058031;Brinjahe; 0,032   
01058032;Brodersby; 0,177   
01058033;Br�gge; 0,258   
01058034;B�delsdorf, Stadt; 2,527   
01058035;B�nsdorf; 0,161   
01058036;Christiansholm; 0,058   
01058037;D�nischenhagen; 0,993   
01058038;D�tgen; 0,135   
01058039;Damendorf; 0,105   
01058040;Damp; 0,367   
01058042;D�rphof; 0,178   
01058043;Eckernf�rde, Stadt; 5,501   
01058044;Ehndorf; 0,167   
01058045;Eisendorf; 0,073   
01058046;Ellerdorf; 0,129   
01058047;Elsdorf-Westerm�hlen; 0,423   
01058048;Emb�hren; 0,058   
01058049;Emkendorf; 0,357   
01058050;Felde; 0,522   
01058051;Felm; 0,278   
01058052;Fleckeby; 0,531   
01058053;Flintbek; 1,857   
01058054;Fockbek; 1,587   
01058055;Friedrichsgraben; 0,015   
01058056;Friedrichsholm; 0,107   
01058057;Gammelby; 0,137   
01058058;Gettorf; 1,762   
01058059;Gnutz; 0,302   
01058061;Gokels; 0,151   
01058062;Grauel; 0,063   
01058063;Grevenkrug; 0,057   
01058064;Gro� Buchwald; 0,089   
01058065;Gro� Vollstedt; 0,242   
01058066;Gro� Wittensee; 0,290   
01058067;G�by; 0,183   
01058068;Haale; 0,134   
01058069;Haby; 0,135   
01058070;Hamdorf; 0,316   
01058071;Hamweddel; 0,119   
01058072;Hanerau-Hademarschen; 0,765   
01058073;Ha�moor; 0,069   
01058074;Heinkenborstel; 0,035   
01058075;H�rsten; 0,014   
01058076;Hoffeld; 0,038   
01058077;Hohenwestedt; 1,272   
01058078;Hohn; 0,615   
01058080;Holtsee; 0,318   
01058081;Holzbunge; 0,086   
01058082;Holzdorf; 0,219   
01058083;H�tten; 0,052   
01058084;Hummelfeld; 0,072   
01058085;Jahrsdorf; 0,067   
01058086;Jevenstedt; 0,818   
01058087;Karby; 0,149   
01058088;Klein Wittensee; 0,049   
01058089;K�nigsh�gel; 0,041   
01058090;Kosel; 0,356   
01058091;Krogaspe; 0,112   
01058092;Kronshagen; 2,969   
01058093;Krummwisch; 0,170   
01058094;Langwedel; 0,378   
01058096;Lindau; 0,317   
01058097;Lohe-F�hrden; 0,126   
01058098;Loop; 0,045   
01058099;Loose; 0,189   
01058100;L�tjenwestedt; 0,145   
01058101;Luhnstedt; 0,108   
01058102;Goosefeld; 0,189   
01058103;Meezen; 0,091   
01058104;Melsdorf; 0,434   
01058105;Mielkendorf; 0,343   
01058106;M�rel; 0,062   
01058107;Molfsee; 1,200   
01058108;M�hbrook; 0,135   
01058109;Negenharrie; 0,089   
01058110;Neudorf-Bornstein; 0,264   
01058111;Neu Duvenstedt; 0,030   
01058112;Neuwittenbek; 0,298   
01058113;Nienborstel; 0,149   
01058115;Nindorf; 0,156   
01058116;Noer; 0,216   
01058117;Nortorf, Stadt; 1,669   
01058118;N�bbel; 0,392   
01058119;Oldenb�ttel; 0,072   
01058120;Oldenh�tten; 0,038   
01058121;Osdorf; 0,597   
01058122;Ostenfeld (Rendsburg); 0,138   
01058123;Osterby; 0,233   
01058124;Osterr�nfeld; 1,297   
01058125;Osterstedt; 0,162   
01058126;Ottendorf; 0,218   
01058127;Owschlag; 0,913   
01058128;Padenstedt; 0,393   
01058129;Prinzenmoor; 0,049   
01058130;Quarnbek; 0,443   
01058131;Rade b. Hohenwestedt; 0,022   
01058132;Rade b. Rendsburg; 0,055   
01058133;Reesdorf; 0,038   
01058134;Remmels; 0,109   
01058135;Rendsburg, Stadt; 6,933   
01058136;Rickert; 0,277   
01058137;Rieseby; 0,661   
01058138;Rodenbek; 0,123   
01058139;Rumohr; 0,204   
01058140;Schacht-Audorf; 1,130   
01058141;Schierensee; 0,102   
01058142;Schinkel; 0,255   
01058143;Schmalstede; 0,066   
01058144;Sch�nbek; 0,047   
01058145;Sch�nhorst; 0,084   
01058146;Sch�lldorf; 0,168   
01058147;Sch�lp b. Nortorf; 0,196   
01058148;Sch�lp b. Rendsburg; 0,284   
01058150;Schwedeneck; 0,728   
01058151;Seefeld; 0,095   
01058152;Sehestedt; 0,210   
01058153;S�ren; 0,048   
01058154;Sophienhamm; 0,086   
01058155;Stafstedt; 0,087   
01058156;Steenfeld; 0,098   
01058157;Strande; 0,385   
01058158;Tackesdorf; 0,018   
01058159;Tappendorf; 0,086   
01058160;Techelsdorf; 0,038   
01058161;Thaden; 0,067   
01058162;Thumby; 0,116   
01058163;Timmaspe; 0,278   
01058164;Todenb�ttel; 0,258   
01058165;T�ttendorf; 0,275   
01058166;Waabs; 0,354   
01058167;Wapelfeld; 0,079   
01058168;Warder; 0,154   
01058169;Wasbek; 0,559   
01058170;Wattenbek; 0,734   
01058171;Westensee; 0,383   
01058172;Westerr�nfeld; 1,235   
01058173;Windeby; 0,265   
01058174;Winnemark; 0,127   
01058175;Ahlefeld-Bistensee; 0,123   
01059001;Alt Bennebek; 0,092   
01059002;Arnis, Stadt; 0,081   
01059005;Bergenhusen; 0,180   
01059006;B�el; 0,189   
01059008;B�klund; 0,370   
01059009;B�rm; 0,189   
01059010;Bollingstedt; 0,372   
01059011;Boren; 0,188   
01059012;Borgwedel; 0,178   
01059014;Brebel; 0,096   
01059016;Brodersby; 0,133   
01059018;Busdorf; 0,510   
01059019;Dannewerk; 0,286   
01059020;D�rpstedt; 0,138   
01059021;Dollrottfeld; 0,066   
01059022;Ekenis; 0,052   
01059023;Ellingstedt; 0,209   
01059024;Erfde; 0,490   
01059026;Fahrdorf; 0,622   
01059032;Geltorf; 0,095   
01059033;Goltoft; 0,059   
01059034;Gr�dersby; 0,058   
01059035;Gro� Rheide; 0,230   
01059037;Havetoft; 0,229   
01059038;Havetoftloit; 0,232   
01059039;Hollingstedt; 0,254   
01059041;H�sby; 0,194   
01059042;Idstedt; 0,216   
01059043;Jagel; 0,240   
01059044;J�bek; 0,662   
01059045;Kappeln, Stadt; 2,237   
01059047;Kiesby; 0,052   
01059049;Klappholz; 0,129   
01059050;Klein Bennebek; 0,133   
01059051;Klein Rheide; 0,082   
01059053;Kropp; 1,526   
01059055;Loit; 0,067   
01059056;Lottorf; 0,057   
01059057;L�rschau; 0,281   
01059058;Meggerdorf; 0,177   
01059060;Mohrkirch; 0,258   
01059062;Neuberend; 0,276   
01059063;Norderbrarup; 0,160   
01059064;Norderstapel; 0,210   
01059065;Nottfeld; 0,037   
01059067;Oersberg; 0,080   
01059068;Rabenkirchen-Faul�ck; 0,162   
01059069;R�de; 0,091   
01059070;R�gge; 0,061   
01059071;Satrup; 0,919   
01059072;Saustrup; 0,053   
01059073;Schaalby; 0,414   
01059074;Scheggerott; 0,095   
01059075;Schleswig, Stadt; 5,999   
01059076;Schnarup-Thumby; 0,146   
01059077;Schuby; 0,645   
01059078;Selk; 0,216   
01059079;Silberstedt; 0,551   
01059080;Steinfeld; 0,190   
01059081;Stolk; 0,206   
01059082;Struxdorf; 0,164   
01059083;S�derbrarup; 1,039   
01059084;S�derfahrenstedt; 0,125   
01059085;S�derstapel; 0,264   
01059086;Taarstedt; 0,221   
01059087;Tetenhusen; 0,238   
01059088;Tielen; 0,074   
01059090;Tolk; 0,265   
01059092;Treia; 0,380   
01059093;�lsby; 0,110   
01059094;Ulsnis; 0,173   
